,egg_id,nest,nest_id,year,mean_red_spot,mean_red_shell,mean_blue_spot,mean_blue_shell,mean_green_spot,mean_green_shell,spotiness,H_shell,S_shell,V_shell,H_spot,S_spot,V_spot
121,214_1,214,214_2018,2018,74.62,146.985,57.055,94.744,69.87,141.719,0.223119867,0.14986178,0.355419271,0.743144175,0.121595539,0.235392942,0.728355295
122,214_2,214,214_2018,2018,74.645,143.53,55.78,93.263,70.455,142.986,0.263985285,0.164910996,0.350215057,0.725675977,0.129607768,0.252710791,0.728599317
123,214_3,214,214_2018,2018,69.91,137.648,52.885,84.583,65.715,132.361,0.227573979,0.150065714,0.385602804,0.695937064,0.125687036,0.243522363,0.68238165
124,218_1,218,218_2018,2018,76.42,159.79,64.19,131.388,74.13,165.897,0.16494869,0.196170142,0.207971811,0.838761705,0.135510457,0.160108336,0.745924841
125,218_2,218,218_2018,2018,70.265,141.002,56.595,102.565,67.845,144.689,0.309048231,0.1812749,0.290975326,0.731535786,0.137244316,0.1945607,0.685846755
126,218_3,218,218_2018,2018,68.065,159.244,52.96,129.852,63.955,165.628,0.196172842,0.196403002,0.215975162,0.837401663,0.121318321,0.221938509,0.664372865
127,221_1,221,221_2018,2018,81.635,183.487,56.365,129.48,70.8,172.72,0.110297312,0.133443518,0.294349824,0.92769531,0.095248468,0.309494198,0.796827721
128,221_2,221,221_2018,2018,77.89,180.024,59.43,128.914,70.435,169.466,0.137627862,0.132237649,0.283961196,0.910186665,0.09948607,0.237133469,0.760273305
129,221_3,221,221_2018,2018,74.56,186.295,53.055,141.665,65.71,180.69,0.102624711,0.145731701,0.239655154,0.94189233,0.098179194,0.288410789,0.727769644
130,223_1,223,223_2018,2018,79.94,157.488,60.055,105.949,72.89,153.681,0.125534084,0.154356276,0.327271244,0.796246486,0.107589467,0.248747651,0.780283065
131,223_2,223,223_2018,2018,79.825,151.548,59.86,91.569,72.955,141.049,0.167150438,0.137494337,0.395898748,0.766214331,0.109329172,0.250105736,0.779160566
132,223_3,223,223_2018,2018,71.275,153.294,52.515,94.868,64.435,144.632,0.157485855,0.142050361,0.381613944,0.775041964,0.105916731,0.262721089,0.695705222
133,224_1,224,224_2018,2018,70.22,173.778,54.755,113.061,63.285,159.774,0.137754164,0.128196927,0.349376347,0.878607398,0.092015785,0.220466515,0.685407516
134,224_2,224,224_2018,2018,71.86,180.594,57.73,131.241,65.43,171.919,0.148381686,0.137364295,0.273370422,0.913068538,0.090770344,0.196563704,0.701415325
135,232_1,232,232_2018,2018,77.65,145.014,58.22,83.327,70.48,129.037,0.235795414,0.123489421,0.425366818,0.73317896,0.105160942,0.250229577,0.757930698
136,232_2,232,232_2018,2018,75.59,141.468,58.425,84.495,69.755,130.077,0.216502372,0.133349223,0.402730309,0.715250673,0.109990759,0.227006169,0.737823329
137,232_3,232,232_2018,2018,79.175,160.764,61.98,103.633,71.42,150.615,0.145492947,0.137060662,0.355372083,0.812809675,0.091415386,0.217430175,0.772816008
138,236_1,236,236_2018,2018,78.36,152.639,65.525,103.341,75.29,145.065,0.176856305,0.141103565,0.323070597,0.771730338,0.126862301,0.163568208,0.764860908
139,236_2,236,236_2018,2018,67.18,146.665,53.905,89.671,63.255,136.389,0.276218466,0.136617196,0.388666156,0.741526281,0.117393034,0.19766272,0.655734505
140,240_1,240,240_2018,2018,65.215,154.975,52.065,97.752,62.315,149.985,0.191398267,0.152140803,0.369299617,0.783540963,0.130104743,0.201394763,0.636554417
141,240_2,240,240_2018,2018,65.185,152.842,50.515,88.011,61.255,141.388,0.341949005,0.137220088,0.42421059,0.772756689,0.122284897,0.224932809,0.636261591
142,245_2,245,245_2018,2018,70.96,158.561,52.98,97.849,64.7,146.822,0.266160854,0.134441338,0.38289839,0.801671487,0.108630535,0.253431447,0.692630552
143,249_1,249,249_2018,2018,68.2,177.024,57.49,137.876,64.9,174.485,0.167924872,0.155853998,0.221170546,0.895018909,0.115312825,0.157038123,0.665690581
144,249_o2,249,249_2018,2018,68.14,170.829,54.825,115.951,63.68,160.201,0.18617109,0.134429554,0.321562894,0.863697495,0.11082034,0.195296221,0.66510493
145,249_o3,249,249_2018,2018,80.705,175.067,62.38,123.12,73.06,166.355,0.149950658,0.138725649,0.296721089,0.885124477,0.09712121,0.227211884,0.787750122
