nest,birdID_female,year,birdID_male,prov_rate_male,prop_prov_male,prov_rate_female,prop_prov_female,total_prov_rate,male_age,female_age,pairbond,bs,spotiness,H_shell,S_shell,V_shell
252,u28,2018,Rian,1.25,100,0,0,1.25,15,NA,NA,2,0.22216634,0.133309383,0.418895808,0.747755173
272,u29,2018,Pontus,0.4,100,0,0,0.4,7,NA,NA,2,0.201978375,0.129875491,0.390729443,0.77841679
305,u31,2018,Abel,0.4,40,0.6,60,1,10,NA,NA,2,0.387943797,0.179229137,0.313203696,0.72486703
564,u34,2018,Armando,1.1,84.61538462,0.2,15.38461538,1.3,18,NA,NA,3,0.11907922,0.141097418,0.342401602,0.833842296
280,Viola,2018,Ingvar,0.6,60,0.4,40,1,7,7,4,1,0.241091498,0.138799666,0.358548389,0.779688354
201,Elvira,2019,Chio,1.6,84.21052632,0.3,15.78947368,1.9,8,18,2,3,0.234977353,0.190775892,0.21732122,0.85052476
202,Lulu,2019,August,1.3,86.66666667,0.2,13.33333333,1.5,20,20,18,2,0.190596233,0.14129287,0.30949335,0.887982298
206,Nell,2019,Roy,0.3,37.5,0.5,62.5,0.8,18,18,6,3,0.276241805,0.159920418,0.331764242,0.732524282
210,Dilara,2019,Jarvis,0.9,39.13043478,1.4,60.86956522,2.3,9,9,4,3,0.212456604,0.155468589,0.284435466,0.821994307
213,Rihanna,2019,Hamlet,1.1,84.61538462,0.2,15.38461538,1.3,11,11,7,1,0.170013869,0.12057814,0.405196183,0.815272738
219,Cathy,2019,Hasso,1.1,73.33333333,0.4,26.66666667,1.5,9,8,6,3,0.107469001,0.14558927,0.250116721,0.965023214
220,Sarina,2019,Gonzales,0.7,63.63636364,0.4,36.36363636,1.1,9,11,1,3,0.192858385,0.134814113,0.371180795,0.86628387
223,Cosima,2019,Dildo,0.4,66.66666667,0.2,33.33333333,0.6,9,9,6,2,0.484402218,0.139286783,0.391886543,0.69437141
238,Jantje,2019,Blake ,0.3,37.5,0.5,62.5,0.8,10,9,6,3,0.273271962,0.142593173,0.389250366,0.827272694
245,Rosemarie,2019,Hanno,0.9,81.81818182,0.2,18.18181818,1.1,6,5,3,3,0.323456017,0.114334065,0.471211684,0.713324714
255,Gloria,2019,Arno,0.9,42.85714286,1.2,57.14285714,2.1,6,6,3,2,0.15834413,0.134744846,0.342236386,0.832826318
257,Nebula,2019,Cupido,1.5,88.23529412,0.2,11.76470588,1.7,5,4,1,2,0.177477677,0.129842914,0.349249532,0.85098379
267,Dory,2019,Amrat,1.1,91.66666667,0.1,8.333333333,1.2,3,5,1,2,0.303959859,0.136959412,0.363211089,0.826435214
272,7932306,2019,Parmesan,0.7,77.77777778,0.2,22.22222222,0.9,7,5,1,1,0.10235307,0.125243367,0.342992612,0.873014493
304,Princess,2019,Karlson,0.9,60,0.6,40,1.5,18,11,4,2,0.336659674,0.107258295,0.413768394,0.820552031
307,u35,2019,Abel,0.8,72.72727273,0.3,27.27272727,1.1,11,NA,NA,3,0.455067384,0.150183212,0.356383839,0.713589086
363,Tetje,2019,Lamar,0.7,77.77777778,0.2,22.22222222,0.9,9,9,6,2,0.181411633,0.153877902,0.309790024,0.846863388
389,Melek,2019,Satan,1.6,80,0.4,20,2,8,8,1,3,0.264263655,0.122202339,0.443141882,0.818825464
410,Kayley,2019,Kirk,0.8,61.53846154,0.5,38.46153846,1.3,9,10,2,3,0.23597204,0.185670587,0.252675212,0.875395653
419,Pinelopi,2019,Russell,0.5,62.5,0.3,37.5,0.8,8,9,5,3,0.440811637,0.117841474,0.473114824,0.749931191
451,Kirsty ,2019,Ismael,0.6,75,0.2,25,0.8,9,9,1,2,0.235980274,0.135411118,0.36085884,0.863553233
483,Lisandra,2019,Milhouse,0.1,100,0,0,0.1,7,3,0,1,0.272593353,0.129001978,0.381641174,0.807772539
485,Jofi,2019,AlCapone,0.9,90,0.1,10,1,3,5,1,2,0.263398998,0.130868897,0.393949289,0.780252493
516,u36,2019,Larkin,0.4,66.66666667,0.2,33.33333333,0.6,14,NA,NA,2,0.176906868,0.162945122,0.23985913,0.855718042
528,Indira,2019,Linneus ,1.4,73.68421053,0.5,26.31578947,1.9,8,9,4,2,0.348736015,0.124821153,0.444433109,0.760834728
560,Benita,2019,Finnegan,0.3,75,0.1,25,0.4,9,9,6,2,0.284487019,0.143823429,0.298440444,0.738124986
597,Eclipse,2019,Pinochio,0.4,40,0.6,60,1,6,3,1,3,0.20707095,0.130807644,0.330392705,0.901800265
598,Merula,2019,Thies,0.6,66.66666667,0.3,33.33333333,0.9,5,6,1,2,0.205615402,0.121598913,0.393243294,0.871327763
